*fileID,overSegScore,underSegScore,pwF,pwPrecision,pwRecall,R,Fmeasure@0.5s,precRate@0.5s,recRate@0.5s,medianTrue2claim@0.5s,medianClaim2true@0.5s,Fmeasure@3s,precRate@3s,recRate@3s,medianTrue2claim@3s,medianClaim2true@3s
1,0.5564,0.64608,0.63605,0.70278,0.58089,0.75732,0,0,0,3.3504,4.8275,0.4,0.4,0.4,3.3504,4.8275
2,0.57465,0.54137,0.50839,0.49608,0.52132,0.72671,0.2069,0.15789,0.3,0.99745,6.4359,0.41379,0.31579,0.6,0.99745,6.4359
3,0.80348,0.8661,0.86363,0.90028,0.82985,0.92007,0.27273,0.27273,0.27273,0.755,0.755,0.81818,0.81818,0.81818,0.755,0.755
4,0.60521,0.79546,0.70608,0.853,0.60233,0.81482,0.33333,0.33333,0.33333,0.95,0.95,0.66667,0.66667,0.66667,0.95,0.95
5,0.70601,0.67391,0.68496,0.65634,0.7162,0.83647,0.14286,0.13333,0.15385,2.1544,2.6123,0.64286,0.6,0.69231,2.1544,2.6123
6,0.61644,0.70579,0.69605,0.76815,0.63631,0.83758,0,0,0,2.0538,2.7651,0.75,0.69231,0.81818,2.0538,2.7651
7,0.65579,0.57409,0.47804,0.41328,0.56687,0.76134,0.34783,0.33333,0.36364,0.9714,1.0163,0.69565,0.66667,0.72727,0.9714,1.0163
8,0.562,0.85522,0.63436,0.91222,0.48625,0.70664,0.125,0.1,0.16667,2.1727,5.0311,0.375,0.3,0.5,2.1727,5.0311
9,0.83781,0.7498,0.76229,0.67932,0.86834,0.87863,0.21053,0.18182,0.25,1.1856,2.2483,0.63158,0.54545,0.75,1.1856,2.2483
10,0.65393,0.60124,0.52514,0.4784,0.582,0.75354,0.21429,0.21429,0.21429,1.35,1.35,0.78571,0.78571,0.78571,1.35,1.35
11,0.41424,0.57153,0.38676,0.48376,0.32216,0.60765,0,0,0,2.6001,7.8868,0.5,0.42857,0.6,2.6001,7.8868
12,0.71304,0.5041,0.43842,0.33157,0.64687,0.74096,0.30303,0.22727,0.45455,1.09,6.467,0.54545,0.40909,0.81818,1.09,6.467
13,0.64067,0.57115,0.50405,0.45277,0.56843,0.78843,0.18182,0.14286,0.25,4.3799,10.3578,0.27273,0.21429,0.375,4.3799,10.3578
14,0.811,0.68475,0.6797,0.58431,0.81231,0.87667,0.25,0.21429,0.3,0.82165,1.9056,0.75,0.64286,0.9,0.82165,1.9056
15,0.68133,0.66106,0.59559,0.54219,0.66066,0.77578,0.15385,0.13333,0.18182,1.3879,2.9482,0.61538,0.53333,0.72727,1.3879,2.9482
16,0.72489,0.49309,0.52168,0.40505,0.73264,0.74431,0.10811,0.08,0.16667,1.4017,6.6651,0.54054,0.4,0.83333,1.4017,6.6651
17,0.81444,0.54649,0.47704,0.34798,0.75826,0.77099,0.32,0.26667,0.4,0.91605,1.7735,0.64,0.53333,0.8,0.91605,1.7735
18,0.71241,0.52322,0.43869,0.34322,0.60773,0.7643,0.22222,0.17647,0.3,1.6137,7.5757,0.59259,0.47059,0.8,1.6137,7.5757
19,0.55836,0.82018,0.66269,0.8714,0.53464,0.76338,0,0,0,1.5022,2.7291,0.58824,0.5,0.71429,1.5022,2.7291
20,0.50989,0.59894,0.48182,0.55733,0.42433,0.6983,0.12121,0.1,0.15385,2.485,3.9053,0.48485,0.4,0.61538,2.485,3.9053
21,0.71706,0.68025,0.69913,0.69388,0.70447,0.84649,0.1,0.090909,0.11111,1.0286,1.1635,0.8,0.72727,0.88889,1.0286,1.1635
22,0.54524,0.52175,0.42664,0.39058,0.47002,0.71242,0,0,0,2.9689,3.9973,0.43478,0.38462,0.5,2.9689,3.9973
23,0.85527,0.81496,0.85166,0.8327,0.8715,0.92426,0.36364,0.33333,0.4,1,1.0575,0.81818,0.75,0.9,1,1.0575
24,0.60674,0.73704,0.62569,0.72034,0.55303,0.77157,0.2,0.18182,0.22222,3.4535,3.7354,0.4,0.36364,0.44444,3.4535,3.7354
25,0.64031,0.69899,0.59447,0.65068,0.5472,0.80747,0.19048,0.16667,0.22222,0.6204,1.2895,0.85714,0.75,1,0.6204,1.2895
26,0.55807,0.66057,0.52795,0.61903,0.46023,0.71025,0,0,0,2.532,5.4407,0.36364,0.28571,0.5,2.532,5.4407
27,0.43989,0.5419,0.45082,0.48218,0.4233,0.72767,0.24,0.21429,0.27273,3.2816,3.9335,0.32,0.28571,0.36364,3.2816,3.9335
28,0.55733,0.66513,0.6414,0.76233,0.55359,0.76762,0,0,0,1.7611,2.4868,0.54545,0.5,0.6,1.7611,2.4868
29,0.67808,0.64423,0.64161,0.61355,0.67237,0.80169,0.23077,0.21429,0.25,0.94495,1.4681,0.76923,0.71429,0.83333,0.94495,1.4681
30,0.61424,0.47026,0.4421,0.35763,0.57882,0.74296,0.21429,0.1875,0.25,0.96225,1.4065,0.71429,0.625,0.83333,0.96225,1.4065
31,0.86094,0.64459,0.60578,0.46651,0.86359,0.78462,0.076923,0.071429,0.083333,1.1946,1.2069,0.69231,0.64286,0.75,1.1946,1.2069
32,0.34168,0.52543,0.44092,0.57803,0.35639,0.69343,0.074074,0.055556,0.11111,4.3959,6.1119,0.2963,0.22222,0.44444,4.3959,6.1119
33,0.79321,0.69421,0.74574,0.67454,0.83373,0.8801,0.18182,0.16667,0.2,1.5096,1.5438,0.84848,0.77778,0.93333,1.5096,1.5438
34,0.76248,0.8183,0.84979,0.90809,0.79852,0.88902,0.1,0.083333,0.125,2.4873,3.76,0.4,0.33333,0.5,2.4873,3.76
35,0.68758,0.78531,0.78816,0.869,0.72108,0.86181,0,0,0,1.4368,2.5031,0.58333,0.5,0.7,1.4368,2.5031
36,0.50665,0.55565,0.47919,0.50127,0.45897,0.69583,0.083333,0.090909,0.076923,1.9143,1.6174,0.66667,0.72727,0.61538,1.9143,1.6174
37,0.61809,0.93185,0.67666,0.91706,0.53612,0.82725,0.14286,0.11111,0.2,1.3366,4.2513,0.57143,0.44444,0.8,1.3366,4.2513
