*fileID,overSegScore,underSegScore,pwF,pwPrecision,pwRecall,R,Fmeasure@0.5s,precRate@0.5s,recRate@0.5s,medianTrue2claim@0.5s,medianClaim2true@0.5s,Fmeasure@3s,precRate@3s,recRate@3s,medianTrue2claim@3s,medianClaim2true@3s
1,0.64497,0.61085,0.52038,0.51302,0.52796,0.65739,0.11111,0.125,0.1,5.8413,3.8677,0.44444,0.5,0.4,5.8413,3.8677
2,0.64383,0.92997,0.63145,0.94616,0.47384,0.85135,0.2069,0.15789,0.3,1.0362,7.2291,0.48276,0.36842,0.7,1.0362,7.2291
3,0.81959,0.84469,0.84653,0.85647,0.83682,0.91767,0.16667,0.15385,0.18182,1.1204,1.1715,0.91667,0.84615,1,1.1204,1.1715
4,0.76305,0.93411,0.86428,0.97404,0.77675,0.90798,0.38095,0.33333,0.44444,0.5629,1.6383,0.7619,0.66667,0.88889,0.5629,1.6383
5,0.42409,0.74158,0.34727,0.65373,0.23643,0.7815,0.14815,0.14286,0.15385,2.9897,3.0187,0.51852,0.5,0.53846,2.9897,3.0187
6,0.50213,0.8153,0.50591,0.84585,0.36087,0.80194,0.22222,0.1875,0.27273,1.2803,3.3224,0.51852,0.4375,0.63636,1.2803,3.3224
7,0.72907,0.71177,0.61437,0.56845,0.66836,0.84128,0.47619,0.5,0.45455,1.0286,0.5551,0.57143,0.6,0.54545,1.0286,0.5551
8,0.44703,0.88685,0.49505,0.92376,0.33812,0.64876,0.19048,0.13333,0.33333,1.8704,7.241,0.38095,0.26667,0.66667,1.8704,7.241
9,0.62145,0.85686,0.54954,0.82183,0.41278,0.84993,0.33333,0.3,0.375,0.8859,1.8837,0.66667,0.6,0.75,0.8859,1.8837
10,0.56053,0.64883,0.41896,0.50128,0.35986,0.76704,0,0,0,3.6285,2.3501,0.46154,0.5,0.42857,3.6285,2.3501
11,0.64135,0.78441,0.66375,0.80432,0.565,0.78195,0,0,0,2.0586,2.3594,0.57143,0.54545,0.6,2.0586,2.3594
12,0.7196,0.6975,0.52087,0.49626,0.54805,0.84175,0.17391,0.16667,0.18182,1.7793,1.8056,0.6087,0.58333,0.63636,1.7793,1.8056
13,0.78414,0.86977,0.78012,0.8534,0.71843,0.92413,0.31579,0.27273,0.375,5.3298,9.7409,0.31579,0.27273,0.375,5.3298,9.7409
14,0.64039,0.80665,0.55091,0.71222,0.44917,0.88084,0.083333,0.071429,0.1,1.8325,2.6158,0.66667,0.57143,0.8,1.8325,2.6158
15,0.60351,0.83305,0.61432,0.82551,0.48918,0.84855,0.18182,0.18182,0.18182,2.8936,2.8936,0.63636,0.63636,0.63636,2.8936,2.8936
16,0.72572,0.89632,0.6636,0.85926,0.54051,0.8972,0.13793,0.11765,0.16667,1.5583,2.6991,0.68966,0.58824,0.83333,1.5583,2.6991
17,0.81572,0.72723,0.68525,0.60831,0.78447,0.90113,0.3,0.3,0.3,7.586,5.6231,0.4,0.4,0.4,7.586,5.6231
18,0.74154,0.83426,0.58304,0.63177,0.54129,0.88257,0.32,0.26667,0.4,0.8609,1.032,0.64,0.53333,0.8,0.8609,1.032
19,0.4561,0.62856,0.50324,0.63122,0.4184,0.65184,0.11111,0.090909,0.14286,3.573,4.1012,0.33333,0.27273,0.42857,3.573,4.1012
20,0.54743,0.77623,0.51036,0.74523,0.38806,0.75521,0.064516,0.055556,0.076923,5.802,5.9714,0.25806,0.22222,0.30769,5.802,5.9714
21,0.50568,0.83926,0.39605,0.78082,0.26531,0.79601,0.30303,0.20833,0.55556,0.40408,3.7578,0.54545,0.375,1,0.40408,3.7578
22,0.55601,0.79007,0.46818,0.71737,0.34748,0.82135,0.21429,0.16667,0.3,2.9243,3.8881,0.35714,0.27778,0.5,2.9243,3.8881
23,0.7151,0.82858,0.75842,0.8663,0.67444,0.88882,0.34783,0.30769,0.4,0.6045,0.7083,0.6087,0.53846,0.7,0.6045,0.7083
24,0.48711,0.85663,0.44031,0.83428,0.29907,0.73866,0.22222,0.16667,0.33333,2.2495,3.6232,0.37037,0.27778,0.55556,2.2495,3.6232
25,0.48132,0.84031,0.37816,0.79025,0.24855,0.79397,0.26087,0.21429,0.33333,1.9916,4.0724,0.52174,0.42857,0.66667,1.9916,4.0724
26,0.46313,0.89329,0.3766,0.88917,0.23889,0.72202,0.083333,0.0625,0.125,2.3106,4.9298,0.41667,0.3125,0.625,2.3106,4.9298
27,0.56694,0.76252,0.562,0.77341,0.44135,0.81861,0.22222,0.1875,0.27273,3.2247,3.5828,0.37037,0.3125,0.45455,3.2247,3.5828
28,0.65018,0.88414,0.70596,0.93255,0.56796,0.8212,0.43478,0.38462,0.5,0.91425,1.4048,0.6087,0.53846,0.7,0.91425,1.4048
29,0.55954,0.77257,0.53029,0.74522,0.41158,0.80627,0.25806,0.21053,0.33333,0.60315,2.1497,0.64516,0.52632,0.83333,0.60315,2.1497
30,0.65357,0.81267,0.57964,0.7427,0.47529,0.87967,0.37037,0.33333,0.41667,1.3709,2.897,0.59259,0.53333,0.66667,1.3709,2.897
31,0.76366,0.75445,0.62808,0.58258,0.6813,0.84511,0.26087,0.27273,0.25,2.7728,1.7792,0.52174,0.54545,0.5,2.7728,1.7792
32,0.40303,0.85734,0.33894,0.84957,0.2117,0.72155,0.16667,0.13333,0.22222,2.907,7.0345,0.41667,0.33333,0.55556,2.907,7.0345
33,0.69364,0.70314,0.67318,0.67153,0.67483,0.86199,0.21429,0.23077,0.2,3.2505,3.2299,0.42857,0.46154,0.4,3.2505,3.2299
34,0.72165,0.81414,0.77204,0.84542,0.71038,0.83342,0.23529,0.22222,0.25,1.392,1.9639,0.58824,0.55556,0.625,1.392,1.9639
35,0.56098,0.73219,0.61408,0.77008,0.51063,0.77979,0,0,0,2.1589,3.322,0.5,0.42857,0.6,2.1589,3.322
36,0.46633,0.62235,0.44201,0.57088,0.3606,0.72597,0.076923,0.076923,0.076923,2.1461,2.1461,0.61538,0.61538,0.61538,2.1461,2.1461
37,0.77179,0.90353,0.86942,0.91332,0.82955,0.91635,0.36364,0.33333,0.4,1.5906,1.7653,0.72727,0.66667,0.8,1.5906,1.7653
38,0.42958,0.77058,0.39421,0.73922,0.26877,0.72544,0.19048,0.14286,0.28571,3.5578,4.5443,0.19048,0.14286,0.28571,3.5578,4.5443
39,0.53383,0.64945,0.44834,0.53049,0.38821,0.78548,0.16667,0.15385,0.18182,4.8297,5.1986,0.41667,0.38462,0.45455,4.8297,5.1986
40,0.63209,0.81425,0.72213,0.85657,0.62417,0.83588,0.52174,0.54545,0.5,0.4102,0.3074,0.78261,0.81818,0.75,0.4102,0.3074
41,0.72719,0.78255,0.73713,0.79557,0.68668,0.82622,0.41379,0.35294,0.5,0.6786,1.3378,0.82759,0.70588,1,0.6786,1.3378
42,0.42242,0.94995,0.40186,0.94114,0.25547,0.5668,0.4,0.28571,0.66667,0.2576,5.8633,0.46667,0.33333,0.77778,0.2576,5.8633
43,0.70401,0.68122,0.62354,0.58321,0.66986,0.80839,0.21053,0.2,0.22222,3.2866,3.6154,0.31579,0.3,0.33333,3.2866,3.6154
44,0.61267,0.77571,0.57685,0.71657,0.48272,0.8369,0.10526,0.090909,0.125,6.3515,8.2431,0.31579,0.27273,0.375,6.3515,8.2431
45,0.66178,0.82571,0.63525,0.79213,0.53023,0.85418,0.076923,0.066667,0.090909,2.2488,2.543,0.61538,0.53333,0.72727,2.2488,2.543
46,0.54229,0.83926,0.48062,0.83201,0.33791,0.81096,0.16667,0.14286,0.2,2.2274,5.4114,0.5,0.42857,0.6,2.2274,5.4114
