*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,struct_mrx_09_000000,0.6856,0.9036,0.7453,0.9240,0.6246,0.8532,0.2963,0.2667,0.3333,0.8148,0.7333,0.9167,0.9669,0.9886
0,struct_mrx_09_000001,0.7080,0.5550,0.4503,0.3522,0.6243,0.6951,0.2857,0.2105,0.4444,0.5714,0.4210,0.8889,0.9693,8.3100
0,struct_mrx_09_000002,0.9158,0.1258,0.4738,0.3130,0.9742,0.3539,0.0645,0.0500,0.0909,0.3871,0.3000,0.5454,2.7396,5.8356
0,struct_mrx_09_000003,0.8185,0.1087,0.3832,0.2440,0.8924,0.2914,0.1379,0.1111,0.1818,0.4828,0.3889,0.6364,2.6017,5.0493
0,struct_mrx_09_000004,0.6306,0.4154,0.4416,0.3397,0.6307,0.5968,0.3871,0.3333,0.4615,0.6452,0.5556,0.7692,0.5365,1.9268
0,struct_mrx_09_000005,0.3590,0.7666,0.3037,0.7287,0.1918,0.7040,0.1905,0.1176,0.5000,0.2857,0.1765,0.7500,1.0699,20.2920
0,struct_mrx_09_000006,0.8141,0.4265,0.5744,0.4302,0.8640,0.5639,0.1667,0.1250,0.2500,0.6667,0.5000,1.0000,0.8510,4.4723
0,struct_mrx_09_000007,0.7494,0.4680,0.4157,0.2991,0.6815,0.6870,0.2222,0.1667,0.3333,0.5000,0.3750,0.7500,1.4175,4.3807
0,struct_mrx_09_000008,0.9028,0.4414,0.5664,0.4017,0.9603,0.5919,0.2000,0.1538,0.2857,0.6000,0.4615,0.8571,2.0987,2.1682
0,struct_mrx_09_000009,0.9431,0.1818,0.3708,0.2280,0.9916,0.2914,0.1053,0.0769,0.1667,0.4737,0.3462,0.7500,1.5043,4.3406
