*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,struct_mrx_09_000000,0.6269,0.5903,0.5430,0.5021,0.5913,0.6650,0.2105,0.2857,0.1667,0.7368,1.0000,0.5833,1.0073,0.9869
0,struct_mrx_09_000001,0.5668,0.5218,0.4330,0.4111,0.4573,0.7605,0.3077,0.2353,0.4444,0.3077,0.2353,0.4444,5.0165,8.6298
0,struct_mrx_09_000002,0.6527,0.2331,0.4372,0.3209,0.6857,0.4883,0.0000,0.0000,0.0000,0.0952,0.1000,0.0909,7.0268,6.1207
0,struct_mrx_09_000003,0.6896,0.7034,0.5989,0.5648,0.6374,0.7942,0.0714,0.0588,0.0909,0.2857,0.2353,0.3636,3.4492,4.3655
0,struct_mrx_09_000004,0.5906,0.6128,0.4975,0.5143,0.4818,0.7626,0.3333,0.3636,0.3077,0.6667,0.7273,0.6154,2.7278,1.3238
0,struct_mrx_09_000005,0.5472,0.8734,0.5688,0.8820,0.4197,0.7861,0.2727,0.1667,0.7500,0.2727,0.1667,0.7500,0.2534,23.3020
0,struct_mrx_09_000006,0.8366,0.8468,0.8780,0.8784,0.8777,0.9189,0.2500,0.2500,0.2500,0.8750,0.8750,0.8750,2.5602,2.5602
0,struct_mrx_09_000007,0.7875,0.5391,0.5507,0.4201,0.7990,0.7871,0.0833,0.0833,0.0833,0.2500,0.2500,0.2500,12.5150,8.0044
0,struct_mrx_09_000008,0.6244,0.6336,0.5293,0.5240,0.5347,0.7474,0.1333,0.1250,0.1429,0.5333,0.5000,0.5714,0.8242,2.8968
0,struct_mrx_09_000009,0.7778,0.6813,0.5406,0.4540,0.6680,0.7634,0.2308,0.2143,0.2500,0.6154,0.5714,0.6667,2.0089,2.0270
0,struct_mrx_09_000010,0.9909,0.7387,0.7872,0.6492,0.9998,0.8063,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750,0.0980,0.0980
0,struct_mrx_09_000011,0.5192,0.5828,0.4555,0.5167,0.4073,0.7666,0.1818,0.1818,0.1818,0.7273,0.7273,0.7273,2.8331,2.8331
0,struct_mrx_09_000012,0.8074,0.6135,0.6251,0.5089,0.8101,0.7408,0.6000,0.7500,0.5000,0.8000,1.0000,0.6667,1.1551,0.0690
0,struct_mrx_09_000013,0.5472,0.5703,0.3973,0.4113,0.3842,0.7347,0.2308,0.2500,0.2143,0.4615,0.5000,0.4286,6.2570,3.8169
0,struct_mrx_09_000014,0.7402,0.5846,0.6949,0.6027,0.8203,0.7789,0.0000,0.0000,0.0000,0.9000,0.9000,0.9000,2.7807,2.7807
