*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,struct_mrx_09_000000,0.8234,0.7480,0.8439,0.8046,0.8872,0.8919,0.2500,0.2500,0.2500,0.8333,0.8333,0.8333,0.5929,0.5155
0,struct_mrx_09_000001,0.7038,0.3773,0.4626,0.3433,0.7090,0.6730,0.4546,0.3846,0.5556,0.5454,0.4615,0.6667,0.3248,0.6633
0,struct_mrx_09_000002,0.9508,0.0874,0.4616,0.3010,0.9892,0.3297,0.1333,0.2500,0.0909,0.2667,0.5000,0.1818,62.5420,1.3230
0,struct_mrx_09_000003,0.7109,0.8373,0.7113,0.8568,0.6081,0.8804,0.0741,0.0625,0.0909,0.7407,0.6250,0.9091,2.5311,2.5481
0,struct_mrx_09_000004,0.7263,0.4958,0.4750,0.3780,0.6390,0.6597,0.1429,0.1333,0.1538,0.5714,0.5333,0.6154,2.3709,2.3709
0,struct_mrx_09_000005,0.6796,0.8290,0.6858,0.8466,0.5763,0.8216,0.4286,0.3000,0.7500,0.4286,0.3000,0.7500,0.1802,4.6024
0,struct_mrx_09_000006,0.8457,0.7055,0.8052,0.7458,0.8748,0.8663,0.1111,0.1000,0.1250,0.6667,0.6000,0.7500,1.0552,1.0552
0,struct_mrx_09_000007,0.8412,0.4839,0.5531,0.4052,0.8708,0.7698,0.0870,0.0909,0.0833,0.2609,0.2727,0.2500,3.5537,1.8815
0,struct_mrx_09_000008,0.4914,0.5947,0.4010,0.5188,0.3269,0.7420,0.1176,0.1000,0.1429,0.3529,0.3000,0.4286,5.2008,5.2141
0,struct_mrx_09_000009,0.6496,0.4553,0.4398,0.3764,0.5291,0.7202,0.1482,0.1333,0.1667,0.5926,0.5333,0.6667,2.3981,2.2846
0,struct_mrx_09_000010,0.7081,0.6675,0.6157,0.6457,0.5883,0.7397,0.5000,0.4167,0.6250,0.6000,0.5000,0.7500,0.2432,0.8945
0,struct_mrx_09_000011,0.7211,0.6398,0.6385,0.5888,0.6975,0.8127,0.1667,0.1538,0.1818,0.5000,0.4615,0.5454,2.4357,2.4357
0,struct_mrx_09_000012,0.5437,0.5332,0.5026,0.5084,0.4969,0.7401,0.1905,0.2222,0.1667,0.6667,0.7778,0.5833,2.1572,1.0823
0,struct_mrx_09_000013,0.7102,0.3561,0.4821,0.3595,0.7316,0.6397,0.2308,0.2500,0.2143,0.3846,0.4167,0.3571,3.8769,1.7798
0,struct_mrx_09_000014,0.6545,0.6718,0.6390,0.6855,0.5984,0.7910,0.0909,0.0833,0.1000,0.6364,0.5833,0.7000,1.8964,1.8964
0,struct_mrx_09_000015,0.8055,0.6930,0.7682,0.7095,0.8376,0.8684,0.2000,0.2222,0.1818,0.6000,0.6667,0.5454,1.6147,1.4927
0,struct_mrx_09_000016,0.5344,0.4520,0.4752,0.4610,0.4902,0.7066,0.0769,0.0588,0.1111,0.6923,0.5294,1.0000,2.3430,2.5523
0,struct_mrx_09_000017,0.8764,0.6208,0.7312,0.6138,0.9039,0.8472,0.3478,0.3333,0.3636,0.7826,0.7500,0.8182,0.9107,0.9052
0,struct_mrx_09_000018,0.5391,0.3603,0.3582,0.2938,0.4588,0.7302,0.0714,0.0714,0.0714,0.2857,0.2857,0.2857,6.0752,4.8216
0,struct_mrx_09_000019,0.7139,0.2262,0.4114,0.2948,0.6808,0.4457,0.2609,0.2500,0.2727,0.3478,0.3333,0.3636,8.9665,3.0510
0,struct_mrx_09_000020,0.8229,0.7467,0.8082,0.7925,0.8246,0.8944,0.3000,0.3000,0.3000,0.5000,0.5000,0.5000,2.3429,1.0604
0,struct_mrx_09_000021,0.6486,0.2860,0.2860,0.1869,0.6082,0.5543,0.2308,0.2500,0.2143,0.3846,0.4167,0.3571,7.2022,4.4231
0,struct_mrx_09_000022,0.6767,0.5226,0.5158,0.4321,0.6396,0.7566,0.0800,0.1111,0.0625,0.3200,0.4444,0.2500,8.2603,1.1756
0,struct_mrx_09_000023,0.7922,0.6308,0.6907,0.6032,0.8079,0.8259,0.4546,0.4546,0.4546,0.4546,0.4546,0.4546,3.9029,0.3267
0,struct_mrx_09_000024,0.6743,0.4481,0.5367,0.4397,0.6884,0.6887,0.1667,0.1538,0.1818,0.2500,0.2308,0.2727,3.7475,3.7281
0,struct_mrx_09_000025,0.6436,0.6092,0.5140,0.5077,0.5205,0.8191,0.1905,0.1818,0.2000,0.4762,0.4546,0.5000,4.1252,1.9888
0,struct_mrx_09_000026,0.5293,0.8178,0.6198,0.9057,0.4711,0.7416,0.1429,0.1111,0.2000,0.4286,0.3333,0.6000,2.5607,2.5607
0,struct_mrx_09_000027,0.5298,0.5960,0.4796,0.5723,0.4127,0.6860,0.1000,0.0833,0.1250,0.4000,0.3333,0.5000,3.6652,5.4446
0,struct_mrx_09_000028,0.8696,0.3268,0.5180,0.3582,0.9347,0.5364,0.2500,0.2857,0.2222,0.5000,0.5714,0.4444,6.6028,1.9217
0,struct_mrx_09_000029,0.9251,0.1375,0.3578,0.2195,0.9668,0.3180,0.2857,0.4000,0.2222,0.2857,0.4000,0.2222,39.0970,0.2350
0,struct_mrx_09_000030,0.6182,0.5140,0.4976,0.4560,0.5474,0.7356,0.1111,0.1111,0.1111,0.2222,0.2222,0.2222,6.5077,3.9949
0,struct_mrx_09_000031,0.6419,0.8049,0.7070,0.8640,0.5983,0.8044,0.1905,0.1667,0.2222,0.4762,0.4167,0.5556,1.1456,2.8532
0,struct_mrx_09_000032,0.6220,0.7786,0.6618,0.8488,0.5423,0.8075,0.2857,0.2500,0.3333,0.4762,0.4167,0.5556,1.8354,2.7367
0,struct_mrx_09_000033,0.6390,0.5894,0.5556,0.5251,0.5898,0.8114,0.1818,0.2222,0.1538,0.4546,0.5556,0.3846,4.8873,0.7205
0,struct_mrx_09_000034,0.6750,0.6762,0.5779,0.6024,0.5554,0.7525,0.5000,0.5000,0.5000,0.6000,0.6000,0.6000,0.4488,0.3475
0,struct_mrx_09_000035,0.6701,0.5791,0.5306,0.5077,0.5556,0.8192,0.1053,0.1111,0.1000,0.4210,0.4444,0.4000,4.3742,1.2963
0,struct_mrx_09_000036,0.5679,0.2796,0.3789,0.2818,0.5780,0.6412,0.0909,0.0714,0.1250,0.2727,0.2143,0.3750,5.4459,6.0354
0,struct_mrx_09_000037,0.6535,0.6021,0.5280,0.5054,0.5526,0.8074,0.1482,0.1667,0.1333,0.5926,0.6667,0.5333,2.3029,1.5989
0,struct_mrx_09_000038,0.6793,0.6332,0.5877,0.5771,0.5986,0.7610,0.2222,0.2500,0.2000,0.3333,0.3750,0.3000,5.9060,1.6287
0,struct_mrx_09_000039,0.4868,0.6776,0.5908,0.8301,0.4586,0.4704,0.4444,0.3333,0.6667,0.6667,0.5000,1.0000,0.0920,0.3682
0,struct_mrx_09_000040,0.5219,0.7415,0.4477,0.6883,0.3317,0.7102,0.3158,0.3000,0.3333,0.4210,0.4000,0.4444,4.5339,2.4121
0,struct_mrx_09_000041,0.6549,0.7834,0.6820,0.8044,0.5919,0.8635,0.0909,0.0909,0.0909,0.5454,0.5454,0.5454,2.1585,2.1585
0,struct_mrx_09_000042,0.4216,0.4519,0.4722,0.5497,0.4138,0.5930,0.2500,0.1818,0.4000,0.3750,0.2727,0.6000,1.6409,7.5069
0,struct_mrx_09_000043,0.8469,0.2948,0.4029,0.2599,0.8962,0.5575,0.0800,0.0909,0.0714,0.6400,0.7273,0.5714,2.3557,1.3884
0,struct_mrx_09_000044,0.7367,0.5044,0.5073,0.3903,0.7245,0.6857,0.2963,0.2857,0.3077,0.3704,0.3571,0.3846,3.4193,2.7022
0,struct_mrx_09_000045,0.4349,0.8090,0.5337,0.9059,0.3783,0.5688,0.0952,0.0769,0.1250,0.6667,0.5385,0.8750,1.4325,1.9875
0,struct_mrx_09_000046,0.5474,0.7963,0.6198,0.8733,0.4803,0.7530,0.1053,0.0833,0.1429,0.5263,0.4167,0.7143,1.2835,2.4217
0,struct_mrx_09_000047,0.6989,0.3952,0.3726,0.2604,0.6551,0.6841,0.1538,0.1538,0.1538,0.2308,0.2308,0.2308,6.6922,4.1240
0,struct_mrx_09_000048,0.7030,0.4340,0.4795,0.3750,0.6649,0.6668,0.1250,0.1250,0.1250,0.2500,0.2500,0.2500,10.8020,4.0022
0,struct_mrx_09_000049,0.6100,0.6202,0.6348,0.6690,0.6040,0.7627,0.2222,0.2222,0.2222,0.2222,0.2222,0.2222,7.9684,5.4542
0,struct_mrx_09_000050,0.5758,0.4438,0.5092,0.4774,0.5455,0.6480,0.1000,0.0909,0.1111,0.2000,0.1818,0.2222,11.0000,10.5300
0,struct_mrx_09_000051,0.6997,0.2766,0.3664,0.2478,0.7027,0.5813,0.1538,0.1818,0.1333,0.3077,0.3636,0.2667,4.3250,2.9963
0,struct_mrx_09_000052,0.5967,0.5325,0.5410,0.5378,0.5442,0.7411,0.0000,0.0000,0.0000,0.6316,0.5000,0.8571,1.6595,2.1726
0,struct_mrx_09_000053,0.5913,0.5137,0.5332,0.4943,0.5788,0.7607,0.1429,0.1429,0.1429,0.5714,0.5714,0.5714,1.5496,1.4467
0,struct_mrx_09_000054,0.5984,0.4296,0.5297,0.4766,0.5960,0.7316,0.4210,0.4000,0.4444,0.6316,0.6000,0.6667,0.8501,0.6494
0,struct_mrx_09_000055,0.8093,0.5063,0.4927,0.3613,0.7745,0.7215,0.5000,0.5000,0.5000,0.6000,0.6000,0.6000,0.6589,0.4882
0,struct_mrx_09_000056,0.4564,0.7909,0.6114,0.9194,0.4580,0.6662,0.1739,0.1429,0.2222,0.5217,0.4286,0.6667,2.0449,3.1446
0,struct_mrx_09_000057,0.5655,0.6180,0.4730,0.5338,0.4247,0.8002,0.2222,0.2222,0.2222,0.3333,0.3333,0.3333,6.1724,2.6650
0,struct_mrx_09_000058,0.5447,0.6166,0.5672,0.6508,0.5027,0.7549,0.1000,0.0769,0.1429,0.6000,0.4615,0.8571,1.3960,1.4081
0,struct_mrx_09_000059,0.7910,0.6380,0.6053,0.5098,0.7448,0.7877,0.6667,0.5833,0.7778,0.6667,0.5833,0.7778,0.3408,0.3504
0,struct_mrx_09_000060,0.7370,0.3969,0.4509,0.3162,0.7851,0.7194,0.2069,0.2308,0.1875,0.4138,0.4615,0.3750,4.0688,1.5879
0,struct_mrx_09_000061,0.9449,0.7293,0.8532,0.7684,0.9590,0.8651,0.5454,0.5000,0.6000,0.5454,0.5000,0.6000,0.4436,0.3943
0,struct_mrx_09_000062,0.5494,0.6957,0.5180,0.6808,0.4181,0.7248,0.4000,0.3333,0.5000,0.6400,0.5333,0.8000,0.8500,2.9604
0,struct_mrx_09_000063,0.7579,0.5297,0.6064,0.4882,0.8002,0.8025,0.0952,0.0833,0.1111,0.6667,0.5833,0.7778,1.2607,1.0985
0,struct_mrx_09_000064,0.8015,0.4698,0.6664,0.5280,0.9031,0.6999,0.2222,0.2500,0.2000,0.3333,0.3750,0.3000,8.6687,3.0048
