*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,struct_mrx_10_000000,0.7991,0.3882,0.3202,0.1996,0.8079,0.7113,0.1667,0.2000,0.1429,0.4167,0.5000,0.3571,3.6515,3.0374
0,struct_mrx_10_000001,0.9866,0.3305,0.1751,0.0960,0.9950,0.5343,0.3333,0.7143,0.2174,0.4667,1.0000,0.3044,12.9930,0.2871
0,struct_mrx_10_000002,0.8485,0.4496,0.3121,0.1914,0.8446,0.7858,0.1212,0.1538,0.1000,0.5454,0.6923,0.4500,3.1597,2.3787
0,struct_mrx_10_000003,0.9171,0.4755,0.3240,0.1969,0.9143,0.7638,0.0714,0.1250,0.0500,0.5000,0.8750,0.3500,3.7701,0.8604
0,struct_mrx_10_000004,0.9584,0.4780,0.3083,0.1840,0.9518,0.7754,0.1290,0.2222,0.0909,0.4516,0.7778,0.3182,5.2912,1.3551
0,struct_mrx_10_000005,0.7865,0.3690,0.2494,0.1488,0.7696,0.7277,0.1379,0.2222,0.1000,0.1379,0.2222,0.1000,7.7350,7.0699
0,struct_mrx_10_000006,0.8848,0.5432,0.4400,0.2914,0.8986,0.8345,0.2581,0.3077,0.2222,0.7097,0.8462,0.6111,1.2909,0.7032
0,struct_mrx_10_000007,0.9270,0.5186,0.3633,0.2271,0.9074,0.8139,0.1379,0.2222,0.1000,0.4138,0.6667,0.3000,10.4870,1.2492
0,struct_mrx_10_000008,0.9357,0.2964,0.1796,0.0991,0.9504,0.4864,0.2143,0.4286,0.1429,0.3571,0.7143,0.2381,4.7553,0.8407
0,struct_mrx_10_000009,0.8980,0.5257,0.3392,0.2113,0.8605,0.8230,0.1111,0.1429,0.0909,0.5556,0.7143,0.4546,2.7186,1.1151
0,struct_mrx_10_000010,0.9412,0.4129,0.2943,0.1736,0.9649,0.7043,0.2857,0.4000,0.2222,0.7143,1.0000,0.5556,1.0935,0.7042
0,struct_mrx_10_000011,0.7929,0.3514,0.2957,0.1793,0.8434,0.6730,0.0870,0.1250,0.0667,0.1739,0.2500,0.1333,4.5201,4.2156
0,struct_mrx_10_000012,0.8848,0.4001,0.2456,0.1433,0.8584,0.7066,0.2759,0.4444,0.2000,0.3448,0.5556,0.2500,6.6354,0.5532
0,struct_mrx_10_000013,0.8316,0.4255,0.2648,0.1588,0.7971,0.7348,0.1579,0.2000,0.1304,0.4210,0.5333,0.3478,4.8812,1.9530
0,struct_mrx_10_000014,0.9508,0.5125,0.3690,0.2287,0.9534,0.8048,0.2667,0.4444,0.1905,0.6000,1.0000,0.4286,3.0883,0.6195
0,struct_mrx_10_000015,0.9223,0.2997,0.2159,0.1218,0.9501,0.5524,0.0741,0.1250,0.0526,0.5926,1.0000,0.4210,4.0571,1.1648
0,struct_mrx_10_000016,0.8411,0.3249,0.2500,0.1453,0.8960,0.6599,0.2759,0.4000,0.2105,0.5517,0.8000,0.4210,2.6982,2.1602
0,struct_mrx_10_000017,0.9001,0.3663,0.2427,0.1401,0.9058,0.6144,0.1667,0.2857,0.1176,0.4167,0.7143,0.2941,7.4062,1.5931
0,struct_mrx_10_000018,0.9047,0.4427,0.2671,0.1568,0.8998,0.7305,0.1290,0.2000,0.0952,0.6452,1.0000,0.4762,2.3069,1.3875
0,struct_mrx_10_000019,0.9012,0.4209,0.2467,0.1435,0.8777,0.7615,0.1143,0.1818,0.0833,0.2857,0.4546,0.2083,7.7254,2.8002
0,struct_mrx_10_000020,0.9351,0.4634,0.3448,0.2102,0.9594,0.7452,0.2857,0.5000,0.2000,0.5714,1.0000,0.4000,2.5528,0.5010
0,struct_mrx_10_000021,0.8633,0.5259,0.4208,0.2790,0.8558,0.8046,0.2222,0.2727,0.1875,0.5926,0.7273,0.5000,1.5227,1.3321
0,struct_mrx_10_000022,0.8792,0.5118,0.4149,0.2703,0.8922,0.7587,0.1667,0.2000,0.1429,0.4167,0.5000,0.3571,3.2465,2.2279
0,struct_mrx_10_000023,0.8762,0.4344,0.3377,0.2092,0.8745,0.6756,0.2500,0.3750,0.1875,0.3333,0.5000,0.2500,3.9927,1.9147
0,struct_mrx_10_000024,0.8666,0.4970,0.3602,0.2292,0.8416,0.7177,0.4348,0.5556,0.3571,0.5217,0.6667,0.4286,3.2405,0.3517
0,struct_mrx_10_000025,0.9359,0.2625,0.1603,0.0876,0.9487,0.4892,0.0667,0.1429,0.0435,0.2000,0.4286,0.1304,9.1249,3.1093
0,struct_mrx_10_000026,0.9479,0.4831,0.3282,0.1981,0.9546,0.7855,0.1333,0.2500,0.0909,0.5333,1.0000,0.3636,4.8276,1.0017
0,struct_mrx_10_000027,0.9158,0.3307,0.2162,0.1222,0.9403,0.6606,0.1250,0.2000,0.0909,0.5000,0.8000,0.3636,4.9393,1.0101
0,struct_mrx_10_000028,0.9281,0.4503,0.2929,0.1736,0.9360,0.7599,0.2500,0.4444,0.1739,0.5000,0.8889,0.3478,5.2914,0.8402
0,struct_mrx_10_000029,0.8934,0.4438,0.3505,0.2170,0.9112,0.7290,0.2400,0.3333,0.1875,0.6400,0.8889,0.5000,2.1366,0.8881
0,struct_mrx_10_000030,0.8854,0.3013,0.2198,0.1253,0.8946,0.6094,0.0741,0.1250,0.0526,0.4444,0.7500,0.3158,3.9986,1.8403
