*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,struct_mrx_09_000000,0.4527,0.7929,0.4282,0.7970,0.2927,0.7348,0.0714,0.0625,0.0833,0.5000,0.4375,0.5833,1.8173,3.3311
0,struct_mrx_09_000001,0.5120,0.6390,0.4525,0.5612,0.3790,0.8159,0.1936,0.1364,0.3333,0.4516,0.3182,0.7778,0.9961,5.9383
0,struct_mrx_09_000002,0.4848,0.6183,0.4691,0.5706,0.3983,0.7363,0.0526,0.0370,0.0909,0.4210,0.2963,0.7273,1.4650,5.9233
0,struct_mrx_09_000003,0.5843,0.7854,0.5359,0.7205,0.4266,0.8237,0.1463,0.1000,0.2727,0.4390,0.3000,0.8182,1.9700,3.9803
0,struct_mrx_09_000004,0.5710,0.6863,0.4789,0.5672,0.4144,0.7776,0.3529,0.2857,0.4615,0.5882,0.4762,0.7692,0.7245,2.2230
0,struct_mrx_09_000005,0.5171,0.8331,0.5164,0.7968,0.3819,0.7610,0.1250,0.0833,0.2500,0.3750,0.2500,0.7500,1.2506,13.2400
0,struct_mrx_09_000006,0.5378,0.7357,0.5016,0.6477,0.4094,0.7370,0.3077,0.2222,0.5000,0.3077,0.2222,0.5000,1.8284,5.8167
0,struct_mrx_09_000007,0.8313,0.8199,0.7280,0.6900,0.7703,0.9049,0.2857,0.2500,0.3333,0.6429,0.5625,0.7500,0.7793,1.1885
0,struct_mrx_09_000008,0.5228,0.7624,0.4225,0.6147,0.3219,0.7623,0.2000,0.1538,0.2857,0.4000,0.3077,0.5714,0.8779,4.7438
0,struct_mrx_09_000009,0.6820,0.5282,0.4084,0.3231,0.5552,0.6630,0.0556,0.0417,0.0833,0.3889,0.2917,0.5833,2.3481,6.3663
0,struct_mrx_09_000010,0.4512,0.7673,0.4007,0.7268,0.2766,0.7048,0.1212,0.0800,0.2500,0.3030,0.2000,0.6250,2.5916,6.2530
0,struct_mrx_09_000011,0.6167,0.5610,0.4320,0.4147,0.4509,0.7163,0.2857,0.2353,0.3636,0.4286,0.3529,0.5454,2.8043,5.6044
