*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,salami000000,0.7260,0.6138,0.6902,0.6038,0.8054,0.7574,0.1333,0.1667,0.1111,0.5333,0.6667,0.4444,7.7263,1.6833
0,salami000005,0.7427,0.6168,0.5845,0.4951,0.7134,0.7932,0.4706,0.4444,0.5000,0.5882,0.5556,0.6250,0.5467,0.6139
0,salami000007,0.3264,0.7195,0.2676,0.5801,0.1739,0.5311,0.2857,0.2500,0.3333,0.5714,0.5000,0.6667,2.1639,6.2400
0,salami000008,0.8227,0.5023,0.5119,0.3720,0.8207,0.6827,0.4000,0.5714,0.3077,0.6000,0.8571,0.4615,19.2250,0.4376
0,salami000009,0.6165,0.4401,0.5492,0.4417,0.7258,0.6213,0.1333,0.3333,0.0833,0.2667,0.6667,0.1667,40.1480,0.8824
0,salami000010,0.6183,0.4878,0.4962,0.4181,0.6102,0.6929,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,17.9330,21.2660
0,salami000011,0.6240,0.3340,0.4945,0.3679,0.7540,0.5644,0.1818,0.1818,0.1818,0.4546,0.4546,0.4546,7.5137,6.3775
0,salami000013,1.0000,0.0841,0.7117,0.5524,1.0000,0.5545,0.5714,1.0000,0.4000,0.5714,1.0000,0.4000,45.9260,0.2983
0,salami000014,0.9163,0.3047,0.3703,0.2298,0.9532,0.4773,0.3000,0.7500,0.1875,0.3000,0.7500,0.1875,47.7080,0.3727
0,salami000015,1.0000,0.4864,0.8253,0.7026,1.0000,0.7030,0.5000,1.0000,0.3333,0.5000,1.0000,0.3333,39.7630,0.2272
