*Fold,Track,Normalised conditional entropy based over-segmentation score,Normalised conditional entropy based under-segmentation score,Frame pair clustering F-measure,Frame pair clustering precision rate,Frame pair clustering recall rate,Random clustering index,Segment boundary recovery evaluation measure @ 0.5sec,Segment boundary recovery precision rate @ 0.5sec,Segment boundary recovery recall rate @ 0.5sec,Segment boundary recovery evaluation measure @ 3sec,Segment boundary recovery precision rate @ 3sec,Segment boundary recovery recall rate @ 3sec,Median distance from an annotated segment boundary to the closest found boundary,Median distance from a found segment boundary to the closest annotated one
0,salami000000,0.4586,0.8099,0.4236,0.8386,0.2834,0.7400,0.2222,0.1667,0.3333,0.4444,0.3333,0.6667,2.0566,10.0400
0,salami000005,0.6364,0.9259,0.6074,0.9291,0.4512,0.8817,0.3846,0.2778,0.6250,0.4615,0.3333,0.7500,0.4460,5.2150
0,salami000007,0.3954,0.8067,0.3762,0.8310,0.2431,0.6031,0.1600,0.1250,0.2222,0.4800,0.3750,0.6667,2.2240,2.9477
0,salami000008,0.7657,0.9084,0.7710,0.9088,0.6695,0.9220,0.1818,0.1500,0.2308,0.5454,0.4500,0.6923,2.2099,2.8495
0,salami000009,0.5021,0.7508,0.3464,0.5842,0.2462,0.7057,0.3030,0.2381,0.4167,0.6667,0.5238,0.9167,0.8122,2.2855
0,salami000010,0.5935,0.5385,0.4410,0.4084,0.4794,0.6993,0.1026,0.0606,0.3333,0.2051,0.1212,0.6667,1.9756,23.8900
0,salami000011,0.7550,0.4781,0.5615,0.4330,0.7988,0.6511,0.1739,0.1667,0.1818,0.4348,0.4167,0.4546,8.2920,2.7873
0,salami000013,0.4144,0.9100,0.5158,0.9778,0.3503,0.6358,0.0800,0.0500,0.2000,0.4000,0.2500,1.0000,0.7930,15.2070
0,salami000014,0.6899,0.7560,0.6105,0.6788,0.5547,0.8832,0.1212,0.1176,0.1250,0.5454,0.5294,0.5625,2.9513,2.4353
0,salami000015,0.3417,0.9249,0.3531,0.9745,0.2156,0.4424,0.2000,0.1429,0.3333,0.4000,0.2857,0.6667,0.5684,3.9577
0,salami000020,0.6918,0.8410,0.5488,0.7385,0.4367,0.9112,0.1482,0.1250,0.1818,0.7037,0.5938,0.8636,1.5918,1.9953
0,salami000021,0.6484,0.6956,0.4963,0.4967,0.4958,0.7318,0.1026,0.0741,0.1667,0.5128,0.3704,0.8333,1.2896,4.3596
0,salami000022,0.6207,0.7972,0.6590,0.8255,0.5484,0.8327,0.1463,0.0968,0.3000,0.2927,0.1936,0.6000,1.3850,11.8180
0,salami000023,0.5704,0.8202,0.5013,0.7744,0.3706,0.8392,0.2000,0.1429,0.3333,0.3000,0.2143,0.5000,2.3497,5.6684
0,salami000024,0.2381,0.5654,0.2998,0.5808,0.2021,0.4926,0.0833,0.0625,0.1250,0.3333,0.2500,0.5000,3.0511,4.2707
0,salami000025,0.4605,0.8069,0.4271,0.7988,0.2915,0.7373,0.2143,0.1765,0.2727,0.6429,0.5294,0.8182,1.9572,2.5884
0,salami000028,0.2176,0.6120,0.2783,0.7699,0.1699,0.4557,0.1667,0.1250,0.2500,0.3333,0.2500,0.5000,2.6234,5.7712
0,salami000029,0.5230,0.5407,0.4213,0.4638,0.3859,0.7484,0.0000,0.0000,0.0000,0.2759,0.2667,0.2857,6.1252,5.5703
0,salami000033,0.8307,0.9052,0.8893,0.9392,0.8444,0.9534,0.3333,0.2727,0.4286,0.7778,0.6364,1.0000,1.0526,1.1919
0,salami000034,0.5834,0.0219,0.5973,0.5001,0.7415,0.5028,0.1429,0.1429,0.1429,0.7857,0.7857,0.7857,1.3875,1.3875
0,salami000035,0.3215,0.6494,0.4258,0.8090,0.2890,0.6135,0.1429,0.1000,0.2500,0.2857,0.2000,0.5000,1.9160,6.4808
0,salami000036,0.5813,0.8077,0.4825,0.7775,0.3498,0.7821,0.1667,0.1538,0.1818,0.3333,0.3077,0.3636,2.5393,3.5282
0,salami000037,0.5872,0.8731,0.6550,0.9389,0.5029,0.7957,0.0714,0.0455,0.1667,0.1429,0.0909,0.3333,3.3649,17.7010
0,salami000042,0.4869,0.4616,0.5306,0.6406,0.4529,0.5502,0.1714,0.1304,0.2500,0.5143,0.3913,0.7500,1.0430,3.3539
0,salami000044,0.2917,0.9154,0.3530,0.9673,0.2159,0.4038,0.1482,0.1111,0.2222,0.2963,0.2222,0.4444,3.2442,5.9899
0,salami000046,0.6990,0.8737,0.6527,0.8661,0.5237,0.8696,0.0870,0.0667,0.1250,0.5217,0.4000,0.7500,1.3064,2.7892
0,salami000047,0.6646,0.4833,0.5303,0.4532,0.6391,0.5266,0.1538,0.1304,0.1875,0.4615,0.3913,0.5625,1.5008,3.3282
0,salami000048,0.5300,0.8629,0.3784,0.8193,0.2460,0.7830,0.0571,0.0385,0.1111,0.1714,0.1154,0.3333,3.1089,13.4670
0,salami000053,0.8333,0.8288,0.7461,0.7272,0.7660,0.9287,0.2353,0.1739,0.3636,0.4118,0.3044,0.6364,1.9960,8.0165
0,salami000054,0.2737,0.8547,0.2391,0.8544,0.1390,0.4919,0.1600,0.1176,0.2500,0.3200,0.2353,0.5000,2.2537,9.7531
0,salami000055,0.4210,0.8011,0.3447,0.7486,0.2239,0.7160,0.0714,0.0526,0.1111,0.2857,0.2105,0.4444,3.8653,5.1317
0,salami000056,0.5071,0.8411,0.5221,0.8723,0.3726,0.7259,0.2703,0.2381,0.3125,0.5946,0.5238,0.6875,1.1880,1.6005
0,salami000063,0.3508,0.8230,0.3081,0.8270,0.1893,0.5254,0.2000,0.1500,0.3000,0.4000,0.3000,0.6000,2.0977,5.2049
0,salami000064,0.3842,0.7752,0.2986,0.7037,0.1895,0.5401,0.1538,0.1667,0.1429,0.5128,0.5556,0.4762,3.4642,1.7505
0,salami000066,0.3024,0.9256,0.3613,0.9857,0.2212,0.4634,0.0741,0.0588,0.1000,0.5185,0.4118,0.7000,1.5931,2.5841
0,salami000067,0.4059,0.8603,0.2740,0.8287,0.1641,0.7306,0.0588,0.0370,0.1429,0.2353,0.1482,0.5714,2.5812,18.5860
0,salami000068,0.6482,0.4817,0.5344,0.4548,0.6477,0.6644,0.1818,0.2143,0.1579,0.6061,0.7143,0.5263,2.3456,1.6231
0,salami000069,0.4386,0.7536,0.3270,0.6069,0.2238,0.7011,0.2000,0.1250,0.5000,0.2667,0.1667,0.6667,0.8998,17.5780
0,salami000070,0.6192,0.7357,0.5330,0.6020,0.4782,0.7766,0.1395,0.1111,0.1875,0.5116,0.4074,0.6875,1.1479,4.3755
0,salami000079,0.6156,0.7506,0.6147,0.7593,0.5163,0.8067,0.2222,0.1500,0.4286,0.3704,0.2500,0.7143,0.7511,14.2430
0,salami000080,0.5181,0.6301,0.4046,0.4771,0.3512,0.6478,0.0909,0.0541,0.2857,0.1818,0.1081,0.5714,1.9838,25.2540
0,salami000081,0.1983,0.9136,0.2074,0.9664,0.1161,0.3833,0.1667,0.1111,0.3333,0.3333,0.2222,0.6667,2.0424,7.5451
